iter	Passed	Remaining
878	1665	229
879	1666	227
880	1667	225
881	1668	223
882	1669	221
883	1670	219
884	1671	217
885	1673	215
886	1674	213
887	1675	211
888	1676	209
889	1679	207
890	1683	205
891	1699	205
892	1700	203
893	1702	201
894	1703	199
895	1704	197
896	1705	195
897	1706	193
898	1712	192
899	1713	190
900	1714	188
901	1716	186
902	1717	184
903	1718	182
904	1719	180
905	1720	178
906	1721	176
907	1723	174
908	1723	172
909	1724	170
910	1725	168
911	1726	166
912	1727	164
913	1728	162
914	1729	160
915	1730	158
916	1732	156
917	1734	154
918	1735	152
919	1736	150
920	1738	149
921	1739	147
922	1740	145
923	1741	143
924	1742	141
925	1743	139
926	1744	137
927	1747	135
928	1749	133
929	1749	131
930	1750	129
931	1751	127
932	1752	125
933	1753	123
934	1754	121
935	1755	120
936	1756	118
937	1756	116
938	1757	114
939	1758	112
940	1759	110
941	1760	108
942	1761	106
943	1761	104
944	1762	102
945	1763	100
946	1764	98
947	1765	96
948	1765	94
949	1767	93
950	1769	91
951	1769	89
952	1770	87
953	1771	85
954	1772	83
955	1773	81
956	1774	79
957	1774	77
958	1775	75
959	1776	74
960	1776	72
961	1777	70
962	1778	68
963	1780	66
964	1780	64
965	1782	62
966	1785	60
967	1786	59
968	1787	57
969	1788	55
970	1789	53
971	1791	51
972	1793	49
973	1795	47
974	1797	46
975	1799	44
976	1800	42
977	1802	40
978	1803	38
979	1804	36
980	1806	34
981	1806	33
982	1808	31
983	1809	29
984	1810	27
985	1812	25
986	1816	23
987	1821	22
988	1821	20
989	1822	18
990	1824	16
991	1828	14
992	1829	12
993	1830	11
994	1831	9
995	1832	7
996	1832	5
997	1833	3
998	1834	1
999	1835	0
